age,job,marital,education,balance,housing,loan,car,contact,day,month,duration,campaign,previous,poutcome,subscribed,dia_semana
58,0.139,0.102,0.151,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.111,0.151,0.107,0.082,0.078,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.083,0.102,0.107,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.074,0.102,0.135,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.115,0.151,0.135,0.082,0.168,0.128,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
35,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
28,0.139,0.151,0.151,0.114,0.078,0.067,0.151,0.041,5,0.068,0.119,1,0,0.093,0,0.122
42,0.083,0.12,0.151,0.082,0.078,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
58,0.23,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.111,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
58,0.111,0.102,0.135,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.09,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.23,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.074,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.23,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.09,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
28,0.074,0.102,0.107,0.124,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
56,0.139,0.102,0.151,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
25,0.09,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
40,0.23,0.102,0.087,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.123,0.102,0.107,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
52,0.083,0.102,0.107,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.111,0.102,0.107,0.124,0.168,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
49,0.139,0.102,0.151,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.123,0.102,0.107,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
59,0.074,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
51,0.139,0.102,0.151,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
25,0.074,0.102,0.107,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.111,0.102,0.107,0.056,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
50,0.139,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
60,0.074,0.102,0.135,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.23,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
58,0.23,0.102,0.135,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
58,0.119,0.102,0.151,0.056,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.111,0.102,0.107,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
54,0.074,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
32,0.139,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.074,0.102,0.135,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
46,0.09,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
32,0.123,0.102,0.151,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
57,0.074,0.102,0.087,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
33,0.09,0.102,0.107,0.124,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
49,0.074,0.102,0.135,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
60,0.23,0.102,0.151,0.114,0.168,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.111,0.102,0.107,0.128,0.078,0.128,0.102,0.041,5,0.068,0.119,2,0,0.093,0,0.122
57,0.074,0.102,0.107,0.165,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
31,0.09,0.102,0.107,0.082,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
54,0.139,0.102,0.107,0.114,0.078,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
55,0.074,0.102,0.087,0.082,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
43,0.111,0.102,0.107,0.165,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
53,0.111,0.102,0.107,0.114,0.078,0.128,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
44,0.074,0.102,0.107,0.124,0.168,0.067,0.102,0.041,5,0.068,0.119,1,0,0.093,0,0.122
47,0.09,0.12,0.107,0.114,0.168,0.128,0.12,0.041,5,0.068,0.119,1,0,0.093,0,0.122
