iter	Logloss
0	0.6465524751
1	0.6083529786
2	0.5750259539
3	0.5458156089
4	0.5190173742
5	0.4960775872
6	0.4767795451
7	0.4587646956
8	0.4418569818
9	0.4272858426
10	0.4159411205
11	0.4051939279
12	0.3962596493
13	0.3870488119
14	0.3782522752
15	0.3709507736
16	0.3643805823
17	0.3584788907
18	0.3542836737
19	0.3487868906
20	0.3442455572
21	0.3410417326
22	0.3366438754
23	0.3333340446
24	0.3297153573
25	0.3268491066
26	0.3242355583
27	0.3218117343
28	0.3196628388
29	0.3176878891
30	0.3155337241
31	0.3135997882
32	0.3117949393
33	0.3101811259
34	0.3087752904
35	0.3074211181
36	0.3064637771
37	0.3054215313
38	0.304364927
39	0.3033485489
40	0.3024844737
41	0.3017357478
42	0.3010495751
43	0.3003341991
44	0.2996642669
45	0.2990478788
46	0.2984789617
47	0.2979262899
48	0.2973671936
49	0.2967882225
50	0.2962478119
51	0.2956026583
52	0.2952446956
53	0.2948976942
54	0.2945880379
55	0.294380325
56	0.2939264757
57	0.2936360569
58	0.2933953415
59	0.2931667366
60	0.2929560014
61	0.2926891341
62	0.2924194443
63	0.2921162721
64	0.2918773117
65	0.2916344226
66	0.2913585432
67	0.2911634818
68	0.2909686716
69	0.2906935141
70	0.290527439
71	0.2903573648
72	0.29016544
73	0.2900686345
74	0.2898883841
75	0.2896057029
76	0.2894237706
77	0.2893071209
78	0.2892042872
79	0.2890599605
80	0.2888817339
81	0.2887306638
82	0.2886115119
83	0.2884764003
84	0.2883576138
85	0.2881034125
86	0.288048429
87	0.2879122135
88	0.2878142175
89	0.2877409383
90	0.287696553
91	0.2876132407
92	0.2875309041
93	0.287449852
94	0.2873566261
95	0.287260772
96	0.2869965079
97	0.2869801883
98	0.2869108089
99	0.2868123262
100	0.2867435631
101	0.2866912468
102	0.2866693551
103	0.2866688435
104	0.2865593296
105	0.286426777
106	0.2863323803
107	0.2862528858
108	0.2861341895
109	0.2858298223
110	0.2857630122
111	0.2857056415
112	0.2856095057
113	0.2855075438
114	0.2854331756
115	0.2853831431
116	0.2853620007
117	0.2852471798
118	0.2851756
119	0.2851212115
120	0.2849688734
121	0.2849381632
122	0.2848286782
123	0.2848199261
124	0.2847801954
125	0.2847579036
126	0.2846389998
127	0.2846008025
128	0.2843855863
129	0.2843311955
130	0.2841308216
131	0.2840657779
132	0.2840389678
133	0.2838386818
134	0.2837714688
135	0.2836596985
136	0.2836489755
137	0.2836089265
138	0.2836089132
139	0.2835595147
140	0.2835589777
141	0.283505287
142	0.2834706433
143	0.283326634
144	0.2832751733
145	0.2832304483
146	0.2832216998
147	0.2831955577
148	0.2831677731
149	0.2829521879
150	0.2829117879
151	0.2828734613
152	0.2828345059
153	0.2827859847
154	0.2827336939
155	0.2826908124
156	0.2826396847
157	0.2824975201
158	0.2824794187
159	0.2823944807
160	0.2823311707
161	0.2822794864
162	0.2822492149
163	0.2822357306
164	0.28219579
165	0.2821954339
166	0.2820125647
167	0.2819579887
168	0.2819360693
169	0.2818481342
170	0.2818274599
171	0.2817117167
172	0.2816533975
173	0.2815111372
174	0.2813763653
175	0.2813494793
176	0.2813006832
177	0.2812551369
178	0.2810880335
179	0.2810362774
180	0.281014853
181	0.2809739729
182	0.2809525604
183	0.280932528
184	0.2808548797
185	0.2808201318
186	0.2807880627
187	0.2807576613
188	0.2807380101
189	0.2805468158
190	0.2805279506
191	0.2804617576
192	0.2803838011
193	0.2803235196
194	0.2802784623
195	0.2802475775
196	0.2801914294
197	0.2801914228
198	0.2801804136
199	0.2801350847
200	0.280026128
201	0.2799004824
202	0.2798672109
203	0.2796745074
204	0.2795399615
205	0.2793583615
206	0.2793189773
207	0.2793016578
208	0.2791966722
209	0.2791020076
210	0.2790379863
211	0.2789837114
212	0.2789542463
213	0.2789335595
214	0.2788771094
215	0.2788591129
216	0.2788276428
217	0.2787287977
218	0.2786149108
219	0.2784096997
220	0.2782749987
221	0.2781115851
222	0.2780769632
223	0.2780110854
224	0.277971912
225	0.2778811692
226	0.2778037483
227	0.2777911651
228	0.2776629133
229	0.2776032636
230	0.2775390871
231	0.2775190395
232	0.2774861561
233	0.2773568492
234	0.2773417666
235	0.2772644685
236	0.2771363183
237	0.2770684028
238	0.2770354351
239	0.2769979374
240	0.2769291026
241	0.276880735
242	0.2767710748
243	0.2767343209
244	0.2766827659
245	0.2766271917
246	0.2765634865
247	0.276522516
248	0.2764942754
249	0.2763518581
250	0.2763358645
251	0.2762033372
252	0.2761697894
253	0.2760507973
254	0.2760189605
255	0.2759928941
256	0.2759136019
257	0.275794722
258	0.275751477
259	0.2756622696
260	0.2756131163
261	0.2755663505
262	0.2755085736
263	0.2754872468
264	0.2754435898
265	0.2753322435
266	0.2752345907
267	0.2751099888
268	0.2750476755
269	0.2750248276
270	0.2749927582
271	0.2749212816
272	0.2748928627
273	0.2748602958
274	0.274764311
275	0.2747062302
276	0.2746772139
277	0.2746201184
278	0.2745065145
279	0.2744779037
280	0.2743575467
281	0.2743114625
282	0.2742603536
283	0.2742196901
284	0.2741476082
285	0.2741184806
286	0.2740554265
287	0.2740131963
288	0.27398401
289	0.2739563792
290	0.2739328622
291	0.2739167232
292	0.273832962
293	0.273783633
294	0.2737140818
295	0.2736815874
296	0.2735777199
297	0.2735080945
298	0.2734742956
299	0.2734039959
300	0.2733825147
301	0.273323301
302	0.273291932
303	0.2732533726
304	0.2732314789
305	0.2731872366
306	0.2731509101
307	0.2730886279
308	0.2730121829
309	0.2729194223
310	0.2728949421
311	0.2727950309
312	0.2727011627
313	0.2726531179
314	0.2725896874
315	0.2725587822
316	0.2725200623
317	0.2724626081
318	0.2724124837
319	0.2723593562
320	0.272331345
321	0.2722819102
322	0.2722482812
323	0.2722121753
324	0.2721325038
325	0.2721007083
326	0.2720041874
327	0.2719932702
328	0.2719830803
329	0.2719152852
330	0.271883822
331	0.2718538477
332	0.271803628
333	0.2717910936
334	0.27174518
335	0.271699833
336	0.2716819845
337	0.2716690364
338	0.2716530843
339	0.2715780675
340	0.2715418733
341	0.2714721088
342	0.2714420134
343	0.2714019951
344	0.271375549
345	0.2713327313
346	0.2712535132
347	0.2712095034
348	0.2711136547
349	0.2710959576
350	0.2710687193
351	0.2710335444
352	0.2710139654
353	0.2709946135
354	0.2709664522
355	0.2709468337
356	0.2708784975
357	0.2708318666
358	0.270768427
359	0.270662201
360	0.2706440897
361	0.270602882
362	0.2705744247
363	0.2705078616
364	0.2704923032
365	0.2704106291
366	0.270361792
367	0.2703292278
368	0.2703221401
369	0.2702839702
370	0.2702752356
371	0.270229698
372	0.27021057
373	0.2701939767
374	0.2701608424
375	0.270115167
376	0.2700750408
377	0.2700685866
378	0.2700378185
379	0.270006729
380	0.2699779064
381	0.2699560603
382	0.2699182653
383	0.2698877152
384	0.2698729036
385	0.2698532695
386	0.2697776966
387	0.2697372465
388	0.2696307945
389	0.269595882
390	0.2695676814
391	0.2695153196
392	0.2694896617
393	0.2694797519
394	0.2694372831
395	0.2693862966
396	0.2693480802
397	0.269272984
398	0.2692494334
399	0.2692189146
400	0.2691834804
401	0.2691588726
402	0.2691512967
403	0.2691340957
404	0.2690793509
405	0.2690604394
406	0.2690261249
407	0.2689669696
408	0.2689503389
409	0.2689302145
410	0.2689033433
411	0.2688500082
412	0.2688171246
413	0.2687859169
414	0.268759847
415	0.2687245579
416	0.2686991938
417	0.2686866109
418	0.2686615356
419	0.268635171
420	0.2686251745
421	0.2686088023
422	0.2685728378
423	0.2685349921
424	0.2684790605
425	0.2684113208
426	0.2683906087
427	0.2683363239
428	0.2683204023
429	0.2682984385
430	0.2682400152
431	0.2682157539
432	0.2681597732
433	0.2681279246
434	0.2680434301
435	0.2680333627
436	0.2680231006
437	0.2679999528
438	0.2679926372
439	0.2679477298
440	0.2679308188
441	0.267836632
442	0.267805646
443	0.2677682765
444	0.2677558507
445	0.2677495985
446	0.2676819653
447	0.267641093
448	0.2675811087
449	0.2675391507
450	0.2675000528
451	0.2674727232
452	0.2674567636
453	0.2674017532
454	0.2673782649
455	0.2673561134
456	0.2673067167
457	0.2672426028
458	0.2672212774
459	0.2671732751
460	0.2671404758
461	0.2671353682
462	0.2670873905
463	0.2670732637
464	0.26704267
465	0.2670397272
466	0.2670072805
467	0.266928263
468	0.2669031877
469	0.2668598255
470	0.2667812311
471	0.2667574081
472	0.2667025743
473	0.2666784142
474	0.26664122
475	0.266606191
476	0.2665602278
477	0.2665543005
478	0.2665065646
479	0.2664984659
480	0.2664654361
481	0.2664417216
482	0.2664217422
483	0.2664128519
484	0.2663894208
485	0.2663178083
486	0.2662974534
487	0.2662761978
488	0.2662314595
489	0.266207778
490	0.2661790121
491	0.2661596737
492	0.2661497827
493	0.2661355845
494	0.2661211982
495	0.2660853509
496	0.266035004
497	0.2660100951
498	0.2659996277
499	0.265953712
500	0.2659387812
501	0.2659297147
502	0.2659100048
503	0.2658537283
504	0.2658341057
505	0.2657579014
506	0.2657028902
507	0.2656481921
508	0.265583062
509	0.2655518872
510	0.265524796
511	0.2655157509
512	0.2655085865
513	0.2655020393
514	0.2654716887
515	0.2654464479
516	0.2653746124
517	0.2653526979
518	0.2653328661
519	0.265298585
520	0.2652486418
521	0.2652002857
522	0.2651666489
523	0.2651434456
524	0.2650771999
525	0.2650566699
526	0.2650242058
527	0.2649941414
528	0.2649448135
529	0.264938936
530	0.2649172519
531	0.2648861055
532	0.2648742819
533	0.264867981
534	0.2648513084
535	0.2648504103
536	0.2648339878
537	0.2648130417
538	0.2647882966
539	0.2647411508
540	0.2647297922
541	0.2646347746
542	0.2646101652
543	0.2645951448
544	0.264560595
545	0.2645133081
546	0.2644505787
547	0.2644327689
548	0.2643836409
549	0.264337686
550	0.2642946134
551	0.2642593755
552	0.264227319
553	0.2641984331
