iter	Passed	Remaining
0	79	79170
1	120	60280
2	166	55365
3	199	49579
4	242	48236
5	279	46309
6	296	42049
7	334	41526
8	383	42195
9	421	41720
10	438	39432
11	478	39358
12	499	37957
13	522	36767
14	564	37038
15	598	36832
16	630	36476
17	672	36714
18	695	35922
19	727	35631
20	760	35435
21	777	34545
22	826	35119
23	879	35774
24	915	35722
25	954	35773
26	986	35550
27	1029	35734
28	1067	35750
29	1108	35840
30	1154	36079
31	1190	36015
32	1225	35902
33	1262	35876
34	1307	36036
35	1349	36132
36	1375	35811
37	1405	35570
38	1441	35531
39	1477	35468
40	1517	35501
41	1553	35438
42	1595	35506
43	1643	35718
44	1681	35683
45	1720	35691
46	1770	35899
47	1812	35953
48	1852	35959
49	1898	36072
50	1941	36133
51	1983	36154
52	2030	36284
53	2074	36339
54	2117	36381
55	2151	36260
56	2191	36263
57	2239	36367
58	2282	36399
59	2321	36368
60	2364	36403
61	2419	36608
62	2463	36640
63	2506	36659
64	2545	36612
65	2584	36579
66	2621	36511
67	2682	36772
68	2726	36789
69	2785	37012
70	2845	37231
71	2900	37379
72	2957	37556
73	3015	37732
74	3065	37808
75	3114	37860
76	3163	37915
77	3204	37881
78	3247	37857
79	3296	37913
80	3360	38128
81	3418	38267
82	3479	38445
83	3545	38664
84	3594	38697
85	3660	38908
86	3683	38655
87	3734	38700
88	3789	38784
89	3831	38743
90	3884	38800
91	3940	38894
92	4006	39076
93	4070	39233
94	4124	39295
95	4173	39299
96	4222	39312
97	4238	39008
98	4277	38926
99	4369	39327
100	4498	40041
101	4586	40375
102	4638	40392
103	4669	40232
104	4728	40301
105	4781	40324
106	4834	40345
107	4882	40322
108	4933	40331
109	4985	40335
110	5034	40323
111	5080	40284
112	5128	40259
113	5172	40202
114	5218	40158
115	5267	40144
116	5338	40292
117	5419	40505
118	5487	40625
119	5554	40729
120	5629	40896
121	5677	40858
122	5739	40920
123	5772	40779
124	5836	40855
125	5890	40859
126	5940	40834
127	5997	40856
128	6063	40939
129	6113	40910
130	6157	40843
131	6207	40821
132	6252	40755
133	6309	40777
134	6357	40737
135	6421	40798
136	6466	40733
137	6534	40816
138	6549	40568
139	6614	40633
140	6655	40545
141	6720	40607
142	6772	40586
143	6821	40548
144	6875	40539
145	6927	40522
146	7023	40756
147	7093	40837
148	7161	40901
149	7232	40986
150	7305	41075
151	7354	41028
152	7398	40955
153	7439	40871
154	7489	40831
155	7535	40766
156	7573	40664
157	7624	40634
158	7669	40568
159	7721	40535
160	7783	40562
161	7863	40676
162	7919	40666
163	7972	40637
164	8021	40595
165	8045	40420
166	8095	40382
167	8152	40374
168	8201	40329
169	8277	40413
170	8361	40536
171	8424	40556
